snapshot_date,source_commit,snapshot_note,original_commit_url,fork_commit_url
2024-12-17,c3843a3e83e5b00e33f4140a977af546514396e2,"Latest usable 118th-Congress snapshot; used only for Jan. 1-2, 2025 transactions",https://github.com/unitedstates/congress-legislators/commit/c3843a3e83e5b00e33f4140a977af546514396e2,https://github.com/StrokeOfLuck/congress-legislators/commit/c3843a3e83e5b00e33f4140a977af546514396e2
2025-01-21,c9550e52aef59e30730188ed6ea53fda9fcb6375,First usable House committee snapshot for the 119th Congress,https://github.com/unitedstates/congress-legislators/commit/c9550e52aef59e30730188ed6ea53fda9fcb6375,https://github.com/StrokeOfLuck/congress-legislators/commit/c9550e52aef59e30730188ed6ea53fda9fcb6375
2025-01-22,c9f7c34b4b84106f0c8de55f5c52e061e78db0a2,Membership file changed with Rubio resignation update,https://github.com/unitedstates/congress-legislators/commit/c9f7c34b4b84106f0c8de55f5c52e061e78db0a2,https://github.com/StrokeOfLuck/congress-legislators/commit/c9f7c34b4b84106f0c8de55f5c52e061e78db0a2
2025-01-28,ef9c870599a6b397c89f9049e446f2879a95994c,Committee membership script update,https://github.com/unitedstates/congress-legislators/commit/ef9c870599a6b397c89f9049e446f2879a95994c,https://github.com/StrokeOfLuck/congress-legislators/commit/ef9c870599a6b397c89f9049e446f2879a95994c
2025-02-02,fb3faba275437c913033ff98d96c192290f537c4,Committee membership script update,https://github.com/unitedstates/congress-legislators/commit/fb3faba275437c913033ff98d96c192290f537c4,https://github.com/StrokeOfLuck/congress-legislators/commit/fb3faba275437c913033ff98d96c192290f537c4
2025-03-04,7a6f0655f89f64d9cd4208f9f8cdf16618ed20f3,Committee membership script update,https://github.com/unitedstates/congress-legislators/commit/7a6f0655f89f64d9cd4208f9f8cdf16618ed20f3,https://github.com/StrokeOfLuck/congress-legislators/commit/7a6f0655f89f64d9cd4208f9f8cdf16618ed20f3
2025-03-05,72526139577a828f365d8a273e3ca9957868517e,Sweep update,https://github.com/unitedstates/congress-legislators/commit/72526139577a828f365d8a273e3ca9957868517e,https://github.com/StrokeOfLuck/congress-legislators/commit/72526139577a828f365d8a273e3ca9957868517e
2025-03-14,7a88eb0e712704f6cefae88973711098d5926ae9,Membership file changed after Rep. Grijalva death,https://github.com/unitedstates/congress-legislators/commit/7a88eb0e712704f6cefae88973711098d5926ae9,https://github.com/StrokeOfLuck/congress-legislators/commit/7a88eb0e712704f6cefae88973711098d5926ae9
2025-04-04,c56f57eba40dfa5b8fd0c15d2f2b7b6f59326191,Committee membership script update,https://github.com/unitedstates/congress-legislators/commit/c56f57eba40dfa5b8fd0c15d2f2b7b6f59326191,https://github.com/StrokeOfLuck/congress-legislators/commit/c56f57eba40dfa5b8fd0c15d2f2b7b6f59326191
2025-05-13,5bef5938d60ce6b62875d9a39926c3f46a36c29b,Committee membership script update,https://github.com/unitedstates/congress-legislators/commit/5bef5938d60ce6b62875d9a39926c3f46a36c29b,https://github.com/StrokeOfLuck/congress-legislators/commit/5bef5938d60ce6b62875d9a39926c3f46a36c29b
2025-05-21,6ac17cb694e372ea67df171e3257be1a46acc4da,Membership file changed after Rep. Connolly death,https://github.com/unitedstates/congress-legislators/commit/6ac17cb694e372ea67df171e3257be1a46acc4da,https://github.com/StrokeOfLuck/congress-legislators/commit/6ac17cb694e372ea67df171e3257be1a46acc4da
2025-06-17,65259e46abc0b11f9e643f06a021b1d5dd5dbdc2,Committee membership script update,https://github.com/unitedstates/congress-legislators/commit/65259e46abc0b11f9e643f06a021b1d5dd5dbdc2,https://github.com/StrokeOfLuck/congress-legislators/commit/65259e46abc0b11f9e643f06a021b1d5dd5dbdc2
2025-08-30,4089094e05f64da828cda3c570838e675537b8b5,Sweep update,https://github.com/unitedstates/congress-legislators/commit/4089094e05f64da828cda3c570838e675537b8b5,https://github.com/StrokeOfLuck/congress-legislators/commit/4089094e05f64da828cda3c570838e675537b8b5
2025-09-11,5de69ba81bafaabf91c91adeddee44777ea09817,Committee membership script update,https://github.com/unitedstates/congress-legislators/commit/5de69ba81bafaabf91c91adeddee44777ea09817,https://github.com/StrokeOfLuck/congress-legislators/commit/5de69ba81bafaabf91c91adeddee44777ea09817
2025-11-14,c003379a48f8c7ac0b3370c87c0c1c4abaa4d572,Committee membership script update,https://github.com/unitedstates/congress-legislators/commit/c003379a48f8c7ac0b3370c87c0c1c4abaa4d572,https://github.com/StrokeOfLuck/congress-legislators/commit/c003379a48f8c7ac0b3370c87c0c1c4abaa4d572
